,X,Y,Z,H
0,0,0,100,739.21
1,0,1,99,740.93
2,0,2,98,742.66
3,0,3,97,744.42
4,0,4,96,746.2
5,0,5,95,747.99
6,0,6,94,749.81
7,0,7,93,751.64
8,0,8,92,753.5
9,0,9,91,755.38
10,0,10,90,757.28
11,0,11,89,759.2
12,0,12,88,761.14
13,0,13,87,763.1
14,0,14,86,765.09
15,0,15,85,767.1
16,0,16,84,769.13
17,0,17,83,771.19
18,0,18,82,773.27
19,0,19,81,775.38
20,0,20,80,777.51
21,0,21,79,779.67
22,0,22,78,781.85
23,0,23,77,784.06
24,0,24,76,786.3
25,0,25,75,788.56
26,0,26,74,790.85
27,0,27,73,793.18
28,0,28,72,795.53
29,0,29,71,797.91
30,0,30,70,800.32
31,0,31,69,802.76
32,0,32,68,805.23
33,0,33,67,807.73
34,0,34,66,810.27
35,0,35,65,812.84
36,0,36,64,815.44
37,0,37,63,818.08
38,0,38,62,820.75
39,0,39,61,823.46
40,0,40,60,826.21
41,0,41,59,828.99
42,0,42,58,831.81
43,0,43,57,834.67
44,0,44,56,837.57
45,0,45,55,840.51
46,0,46,54,843.49
47,0,47,53,846.51
48,0,48,52,849.57
49,0,49,51,852.68
50,0,50,50,855.83
51,0,51,49,859.03
52,0,52,48,862.28
53,0,53,47,865.57
54,0,54,46,868.91
55,0,55,45,872.3
56,0,56,44,875.74
57,0,57,43,879.23
58,0,58,42,882.78
59,0,59,41,886.38
60,0,60,40,890.03
61,0,61,39,893.74
62,0,62,38,897.51
63,0,63,37,901.34
64,0,64,36,905.22
65,0,65,35,909.17
66,0,66,34,913.19
67,0,67,33,917.26
68,0,68,32,921.4
69,0,69,31,925.61
70,0,70,30,929.89
71,0,71,29,934.24
72,0,72,28,938.66
73,0,73,27,943.16
74,0,74,26,947.73
75,0,75,25,952.38
76,0,76,24,957.11
77,0,77,23,961.92
78,0,78,22,966.81
79,0,79,21,971.79
80,0,80,20,976.85
81,0,81,19,982.01
82,0,82,18,987.26
83,0,83,17,992.6
84,0,84,16,998.04
85,0,85,15,1003.58
86,0,86,14,1009.22
87,0,87,13,1014.97
88,0,88,12,1020.82
89,0,89,11,1026.79
90,0,90,10,1032.86
91,0,91,9,1039.06
92,0,92,8,1045.37
93,0,93,7,1051.8
94,0,94,6,1058.37
95,0,95,5,1065.06
96,0,96,4,1071.88
97,0,97,3,1078.84
98,0,98,2,1085.94
99,0,99,1,1093.19
100,0,100,0,1100.58
101,1,0,99,735.42
102,1,1,98,737.12
103,1,2,97,738.84
104,1,3,96,740.58
105,1,4,95,742.34
106,1,5,94,744.11
107,1,6,93,745.91
108,1,7,92,747.73
109,1,8,91,749.57
110,1,9,90,751.43
111,1,10,89,753.31
112,1,11,88,755.21
113,1,12,87,757.13
114,1,13,86,759.07
115,1,14,85,761.04
116,1,15,84,763.03
117,1,16,83,765.05
118,1,17,82,767.08
119,1,18,81,769.15
120,1,19,80,771.23
121,1,20,79,773.34
122,1,21,78,775.48
123,1,22,77,777.64
124,1,23,76,779.83
125,1,24,75,782.05
126,1,25,74,784.29
127,1,26,73,786.56
128,1,27,72,788.86
129,1,28,71,791.19
130,1,29,70,793.55
131,1,30,69,795.94
132,1,31,68,798.35
133,1,32,67,800.8
134,1,33,66,803.28
135,1,34,65,805.8
136,1,35,64,808.34
137,1,36,63,810.92
138,1,37,62,813.54
139,1,38,61,816.19
140,1,39,60,818.87
141,1,40,59,821.59
142,1,41,58,824.35
143,1,42,57,827.15
144,1,43,56,829.98
145,1,44,55,832.85
146,1,45,54,835.77
147,1,46,53,838.72
148,1,47,52,841.72
149,1,48,51,844.76
150,1,49,50,847.84
151,1,50,49,850.97
152,1,51,48,854.14
153,1,52,47,857.36
154,1,53,46,860.62
155,1,54,45,863.94
156,1,55,44,867.3
157,1,56,43,870.71
158,1,57,42,874.18
159,1,58,41,877.69
