,X,Y,Z,H
5095,90,10,0,162.69
5106,92,0,8,121.64
5108,92,2,6,125.27
5110,92,4,4,128.96
5112,92,6,2,132.72
5114,92,8,0,136.55
5123,94,0,6,100.57
5125,94,2,4,104.01
5127,94,4,2,107.52
5129,94,6,0,111.1
5136,96,0,4,79.94
5138,96,2,2,83.18
5140,96,4,0,86.52
5145,98,0,2,60.1
5147,98,2,0,63.22
5150,100,0,0,41.32
